session_id,station_id,city,timestamp,duration_min,energy_kwh,vehicle_type,connector_type,payment_method,temperature_c,is_weekend,session_cost_usd,battery_start_pct,battery_end_pct,user_rating
44,ST-021,Denver,2024-06-07 20:11:14,35.9,6.04,Other,CCS,Free/Promotional,30.3,False,1.57,75.6,83.7,4.0
45,ST-014,Austin,2024-12-12 13:20:55,6.3,2.0,Tesla Model 3,Tesla Supercharger,App,1.5,False,0.4,45.0,47.7,4.5
46,ST-001,Portland,2025-01-16 05:04:41,43.4,8.18,Tesla Model 3,Tesla Supercharger,App,2.7,False,2.18,56.8,67.7,4.0
47,ST-014,Austin,2024-05-17 19:55:30,27.5,4.05,Chevy Bolt,CCS,App,26.7,False,0.94,43.5,48.9,4.5
48,ST-001,Portland,2025-06-22 10:56:56,28.9,5.78,Chevy Bolt,CCS,App,29.8,True,1.62,59.8,67.5,1.0
49,ST-019,Portland,2024-01-20 17:52:34,75.1,12.13,Chevy Bolt,CCS,App,2.2,True,3.6,83.5,99.7,4.0
50,ST-004,Seattle,2024-10-02 11:18:42,32.9,7.31,Tesla Model Y,Tesla Supercharger,App,10.9,False,2.18,7.7,17.4,2.5
51,ST-018,Raleigh,2025-04-20 15:42:14,22.8,3.27,Rivian R1T,CHAdeMO,App,18.1,True,0.82,80.9,85.3,3.5
52,ST-008,Austin,2024-03-09 14:41:56,28.9,4.32,Nissan Leaf,CHAdeMO,App,11.2,True,0.87,28.6,34.4,5.0
53,ST-005,Nashville,2024-10-26 08:30:03,38.0,5.76,Chevy Bolt,CCS,App,-1.0,True,1.45,36.1,43.8,4.5
54,ST-013,Portland,2024-03-01 15:46:38,16.5,4.22,Tesla Model 3,Tesla Supercharger,Free/Promotional,18.9,False,1.08,84.8,90.4,5.0
55,ST-008,Austin,2024-09-09 18:22:23,63.4,14.33,Hyundai Ioniq 5,CHAdeMO,Credit Card,,False,3.18,22.0,41.1,4.5
56,ST-022,Seattle,2025-05-26 07:42:28,59.1,8.19,Ford Mustang Mach-E,CCS,RFID Card,28.5,False,2.31,25.9,36.8,3.0
57,ST-013,Portland,2024-09-15 03:21:40,34.4,6.54,Chevy Bolt,CCS,Free/Promotional,15.8,True,1.85,37.3,46.0,3.5
58,ST-014,Austin,2025-05-25 07:42:07,41.5,9.0,BMW iX,CCS,RFID Card,26.3,True,2.05,27.1,39.1,
59,ST-009,Denver,2025-03-31 04:47:07,5.5,2.0,Other,CHAdeMO,Credit Card,18.2,False,0.48,9.8,12.5,4.0
60,ST-019,Portland,2024-04-02 23:22:18,60.1,12.78,Nissan Leaf,CCS,RFID Card,20.2,False,3.9,28.6,45.6,4.5
61,ST-011,Nashville,2024-11-08 13:07:46,31.3,5.59,Other,CHAdeMO,Credit Card,,False,1.41,78.0,85.5,3.5
62,ST-018,Raleigh,2024-06-30 09:55:44,13.7,3.12,Other,CCS,RFID Card,,True,0.82,37.2,41.4,4.5
63,ST-002,Austin,2025-01-16 22:07:07,24.4,4.3,BMW iX,CCS,App,-7.2,False,0.89,80.4,86.1,3.0
64,ST-001,Portland,2024-10-19 22:28:26,19.9,4.07,Nissan Leaf,CCS,,0.0,True,1.18,80.3,85.7,4.0
65,ST-012,Raleigh,2025-06-28 04:13:50,17.6,3.05,Other,CCS,App,34.1,True,0.8,52.2,56.3,
66,ST-005,Nashville,2025-05-21 10:46:46,16.0,2.57,Nissan Leaf,CCS,RFID Card,35.3,False,0.63,13.9,17.3,3.0
67,ST-016,Seattle,2024-08-15 11:59:28,28.4,5.04,Nissan Leaf,CCS,RFID Card,23.9,False,1.47,69.0,75.7,4.5
68,ST-019,Portland,2025-05-24 08:36:54,30.5,4.37,Hyundai Ioniq 5,CHAdeMO,RFID Card,27.9,True,1.3,72.3,78.1,2.5
69,ST-019,Portland,2024-02-01 03:32:07,86.0,19.63,Tesla Model Y,Tesla Supercharger,Credit Card,1.3,False,4.98,28.3,54.5,2.0
70,ST-017,Nashville,2024-09-07 08:58:43,21.6,3.52,Tesla Model Y,Tesla Supercharger,Credit Card,11.0,True,0.85,33.1,37.8,3.5
71,ST-012,Raleigh,2024-08-15 14:55:05,60.0,10.98,Ford Mustang Mach-E,CCS,App,21.9,False,2.61,39.0,53.6,1.0
72,ST-003,Denver,2024-04-08 00:03:50,26.5,3.54,Tesla Model Y,Tesla Supercharger,App,,False,0.92,71.5,76.2,4.5
73,ST-021,Denver,2025-03-08 10:01:58,132.8,21.87,Tesla Model 3,Tesla Supercharger,App,5.6,True,5.96,11.1,40.3,4.5
74,ST-018,Raleigh,2024-10-11 11:28:55,24.3,4.98,Tesla Model 3,J1772,RFID Card,11.6,False,1.15,42.8,49.4,3.5
75,ST-021,Denver,2024-07-24 22:54:25,79.5,15.59,Tesla Model 3,Tesla Supercharger,RFID Card,29.6,False,3.67,43.7,64.5,3.5
76,ST-016,Seattle,2024-03-25 05:48:34,66.6,16.03,Tesla Model 3,Tesla Supercharger,App,20.1,False,4.68,83.3,100.0,1.5
77,ST-023,Nashville,2025-02-07 23:11:23,140.7,22.61,Ford Mustang Mach-E,J1772,App,,False,5.38,41.5,71.6,4.0
78,ST-002,Austin,2024-08-04 17:30:09,47.2,10.91,Chevy Bolt,CCS,Credit Card,28.8,True,2.2,83.8,98.3,3.0
79,ST-015,Denver,2024-04-05 08:30:06,95.2,20.89,Nissan Leaf,J1772,Credit Card,17.8,False,5.54,57.7,85.6,1.0
80,ST-014,Austin,2025-05-15 07:49:28,195.5,30.77,Tesla Model 3,Tesla Supercharger,App,27.6,False,7.02,67.1,100.0,3.0
81,ST-005,Nashville,2024-01-20 16:31:41,69.7,15.29,Tesla Model 3,J1772,RFID Card,,True,3.95,75.4,95.8,5.0
82,ST-007,Portland,2024-12-29 11:07:58,49.8,10.78,Other,CCS,RFID Card,2.7,True,2.88,9.7,24.1,3.0
83,ST-016,Seattle,2025-05-14 03:19:50,8.8,2.0,Tesla Model 3,Tesla Supercharger,,27.5,False,0.64,69.4,72.1,4.5
84,ST-014,Austin,2025-03-01 15:11:20,55.2,12.14,BMW iX,J1772,Free/Promotional,8.0,True,2.65,7.7,23.9,5.0
85,ST-005,Nashville,2025-04-07 02:23:53,35.8,4.83,Ford Mustang Mach-E,CHAdeMO,RFID Card,21.9,False,1.24,44.1,50.5,4.5
86,ST-005,Nashville,2025-02-08 22:07:05,72.7,17.07,Rivian R1T,CCS,Credit Card,4.3,True,4.11,9.0,31.8,4.5
87,ST-025,Portland,2025-05-09 10:05:37,54.9,9.0,Chevy Bolt,CHAdeMO,Free/Promotional,,False,2.52,60.2,72.2,4.0
88,ST-010,Seattle,2024-05-11 11:48:39,27.2,5.32,Tesla Model Y,J1772,App,29.6,True,1.61,32.9,40.0,4.0
89,ST-002,Austin,2024-03-17 06:12:58,55.4,13.7,Chevy Bolt,J1772,App,17.2,True,2.85,40.9,59.2,2.0
90,ST-022,Seattle,2025-03-27 21:16:43,26.7,5.89,Nissan Leaf,CCS,Free/Promotional,19.0,False,1.67,66.8,74.7,5.0
91,ST-011,Nashville,2025-01-03 07:55:31,57.1,11.97,Ford Mustang Mach-E,CCS,App,-0.1,False,3.11,65.4,81.4,2.0
92,ST-004,Seattle,2024-08-19 23:44:15,19.1,3.59,Other,CCS,Credit Card,28.4,False,1.1,17.7,22.5,
93,ST-020,Austin,2024-03-01 09:41:18,49.4,10.6,Other,J1772,App,10.2,False,2.38,8.4,22.5,3.5
94,ST-006,Raleigh,2024-03-20 05:47:12,16.9,2.77,BMW iX,CCS,Credit Card,,False,0.75,24.8,28.5,3.0
95,ST-002,Austin,2025-06-01 11:04:23,43.6,8.81,Tesla Model 3,Tesla Supercharger,App,31.7,True,1.96,30.9,42.6,4.5
96,ST-013,Portland,2025-03-04 03:20:32,84.7,13.71,Tesla Model 3,Tesla Supercharger,App,7.6,False,3.48,39.0,57.3,4.0
97,ST-013,Portland,2024-06-23 10:04:02,35.2,5.84,Tesla Model 3,Tesla Supercharger,RFID Card,21.5,True,1.66,48.8,56.6,3.5
98,ST-018,Raleigh,2024-12-02 11:47:12,6.2,2.0,Tesla Model 3,Tesla Supercharger,App,7.8,False,0.49,84.0,86.7,
99,ST-019,Portland,2024-09-24 03:10:15,54.4,9.54,Other,CCS,Credit Card,,False,2.78,84.4,97.1,
100,ST-001,Portland,2025-06-12 06:14:51,9.0,2.0,BMW iX,CCS,App,23.7,False,0.59,29.4,32.1,4.5
101,ST-012,Raleigh,2024-11-30 09:34:11,102.2,22.46,Tesla Model 3,Tesla Supercharger,RFID Card,,True,5.75,48.3,78.2,5.0
102,ST-003,Denver,2024-09-24 06:26:03,75.6,12.85,Tesla Model Y,Tesla Supercharger,,20.5,False,3.11,54.5,71.6,4.0
103,ST-007,Portland,2024-04-24 03:29:29,62.4,12.06,Tesla Model 3,CCS,Credit Card,30.3,False,3.51,79.3,95.4,4.5
104,ST-003,Denver,2024-09-17 14:13:01,12.8,2.15,Ford Mustang Mach-E,J1772,Credit Card,,False,0.56,55.6,58.5,5.0
105,ST-005,Nashville,2024-03-07 12:29:35,55.0,11.24,Nissan Leaf,CCS,RFID Card,13.8,False,2.53,69.7,84.7,4.0
106,ST-003,Denver,2024-09-27 13:07:04,107.7,17.64,Tesla Model Y,Tesla Supercharger,RFID Card,19.0,False,4.26,80.9,100.0,3.5
107,ST-025,Portland,2024-06-16 21:56:22,213.3,39.29,Chevy Bolt,CCS,App,28.8,True,11.69,37.9,90.3,3.5
108,ST-019,Portland,2024-03-11 10:48:35,32.2,6.83,Chevy Bolt,CHAdeMO,App,15.6,False,1.94,71.5,80.6,3.0
109,ST-013,Portland,2024-06-14 22:57:43,99.8,21.6,Tesla Model Y,Tesla Supercharger,RFID Card,32.6,False,5.68,81.7,100.0,4.0
110,ST-022,Seattle,2024-05-30 01:18:26,156.2,24.16,Tesla Model Y,Tesla Supercharger,Free/Promotional,27.3,False,7.87,17.5,49.7,
111,ST-018,Raleigh,2024-07-30 18:16:39,13.5,2.23,Tesla Model 3,Tesla Supercharger,App,23.3,False,0.57,21.3,24.3,4.5
112,ST-021,Denver,2025-04-07 23:52:53,52.0,10.26,Rivian R1T,CHAdeMO,,24.7,False,2.64,58.5,72.2,2.5
113,ST-015,Denver,2025-01-05 05:44:40,6.8,2.0,Hyundai Ioniq 5,J1772,Credit Card,,True,0.5,19.0,21.7,
114,ST-003,Denver,2025-05-17 09:13:22,24.8,4.24,Tesla Model Y,Tesla Supercharger,Credit Card,22.7,True,1.03,16.9,22.6,2.5
115,ST-016,Seattle,2024-07-27 00:54:07,5.0,2.0,Chevy Bolt,CHAdeMO,Free/Promotional,24.3,True,0.56,79.2,81.9,4.0
116,ST-001,Portland,2024-04-07 23:35:52,116.6,17.17,Hyundai Ioniq 5,J1772,RFID Card,20.2,True,4.59,41.9,64.8,3.5
117,ST-009,Denver,2024-10-03 21:15:16,79.7,15.51,Tesla Model 3,Tesla Supercharger,Free/Promotional,16.6,False,3.9,63.0,83.7,
118,ST-005,Nashville,2024-12-15 04:50:13,101.7,20.07,Tesla Model Y,Tesla Supercharger,Free/Promotional,0.7,True,5.22,27.4,54.2,4.5
119,ST-023,Nashville,2024-03-31 09:07:39,28.4,7.09,Nissan Leaf,CCS,App,,True,1.7,63.1,72.6,
120,ST-001,Portland,2025-02-26 13:55:12,22.8,4.65,Other,J1772,App,11.4,False,1.29,61.8,68.0,4.5
121,ST-017,Nashville,2024-12-05 13:00:32,27.3,4.99,BMW iX,CCS,App,,False,1.24,72.7,79.4,4.5
122,ST-002,Austin,2024-10-06 22:56:06,16.1,3.09,Chevy Bolt,CCS,Free/Promotional,14.1,True,0.69,20.6,24.7,3.5
123,ST-013,Portland,2024-11-17 04:31:58,10.9,2.23,Chevy Bolt,J1772,App,3.1,True,0.69,9.1,12.1,2.5
124,ST-002,Austin,2024-05-14 06:33:36,55.0,11.95,Rivian R1T,Tesla Supercharger,Credit Card,24.1,False,2.37,33.8,49.7,4.0
125,ST-006,Raleigh,2024-04-11 03:28:55,76.9,11.37,Chevy Bolt,CHAdeMO,Credit Card,14.8,False,2.75,7.1,22.3,
126,ST-015,Denver,2024-10-31 02:04:47,6.9,2.0,Rivian R1T,CCS,App,,False,0.49,61.4,64.1,
127,ST-011,Nashville,2024-05-08 01:20:54,50.1,9.51,Rivian R1T,J1772,App,17.5,False,2.5,68.6,81.3,3.0
128,ST-021,Denver,2024-08-28 06:55:20,59.2,9.76,BMW iX,CCS,RFID Card,18.4,False,2.76,40.1,53.1,
129,ST-002,Austin,2025-05-09 10:08:26,45.5,9.22,Chevy Bolt,J1772,,24.6,False,2.21,19.4,31.7,
130,ST-011,Nashville,2024-04-04 12:40:02,46.7,6.28,Nissan Leaf,CCS,Credit Card,19.0,False,1.59,8.4,16.8,3.0
131,ST-025,Portland,2025-01-30 19:44:14,36.1,6.64,Nissan Leaf,CCS,App,-0.1,False,1.93,70.1,79.0,4.5
132,ST-003,Denver,2025-02-12 20:32:50,32.6,6.91,Tesla Model 3,Tesla Supercharger,App,5.9,False,1.7,21.7,30.9,3.0
133,ST-014,Austin,2024-07-21 15:38:06,52.3,7.12,Other,J1772,App,24.4,True,1.57,51.5,61.0,4.0
134,ST-023,Nashville,2024-05-24 21:36:45,30.7,6.8,Other,J1772,RFID Card,29.4,False,1.59,25.3,34.4,4.5
135,ST-007,Portland,2024-08-08 15:13:50,39.1,7.68,Rivian R1T,CHAdeMO,Credit Card,25.9,False,2.31,20.0,30.2,3.0
136,ST-015,Denver,2024-11-30 12:30:13,67.0,13.82,Ford Mustang Mach-E,J1772,Credit Card,-4.9,True,3.8,42.4,60.8,4.0
137,ST-024,Raleigh,2024-10-03 10:56:50,65.1,14.41,Ford Mustang Mach-E,CCS,App,14.1,False,3.92,71.1,90.3,4.5
138,ST-015,Denver,2025-05-21 00:19:42,65.1,12.64,Other,CCS,Free/Promotional,29.8,False,3.18,48.7,65.6,3.5
139,ST-008,Austin,2025-06-25 12:12:45,59.1,9.24,Tesla Model 3,Tesla Supercharger,RFID Card,,False,1.92,40.2,52.5,
140,ST-013,Portland,2025-02-27 07:22:01,42.8,10.67,Ford Mustang Mach-E,CCS,App,14.7,False,3.17,65.7,79.9,
141,ST-019,Portland,2024-12-25 04:38:25,25.7,5.36,Chevy Bolt,CCS,RFID Card,-1.2,False,1.39,41.2,48.3,4.5
142,ST-006,Raleigh,2024-03-22 15:15:10,57.4,11.16,Other,J1772,App,19.9,False,3.01,60.8,75.7,
143,ST-023,Nashville,2025-04-02 01:45:54,18.0,2.58,Tesla Model 3,Tesla Supercharger,App,15.4,False,0.59,78.0,81.4,5.0
144,ST-021,Denver,2025-04-06 12:00:24,14.2,3.17,Chevy Bolt,CCS,App,17.9,True,0.89,41.9,46.1,4.0
145,ST-018,Raleigh,2025-03-03 11:54:34,33.9,5.66,Hyundai Ioniq 5,CCS,App,14.0,False,1.42,38.2,45.7,2.5
146,ST-021,Denver,2024-05-25 03:57:35,15.6,2.54,Tesla Model Y,J1772,RFID Card,26.9,True,0.67,70.9,74.3,
147,ST-002,Austin,2024-06-23 23:42:58,40.1,5.89,Chevy Bolt,CCS,Credit Card,31.1,True,1.33,18.9,26.8,5.0
148,ST-023,Nashville,2025-02-06 08:35:39,32.3,7.93,Tesla Model Y,Tesla Supercharger,App,5.5,False,1.83,35.6,46.2,4.0
149,ST-001,Portland,2024-03-05 22:45:51,16.9,3.33,Other,CCS,App,10.0,False,0.97,23.8,28.2,4.0
150,ST-024,Raleigh,2024-02-03 21:16:29,34.6,8.21,BMW iX,CHAdeMO,Free/Promotional,4.5,True,2.03,47.6,58.5,3.5
151,ST-004,Seattle,2025-01-04 19:10:26,22.5,4.57,Ford Mustang Mach-E,J1772,RFID Card,2.1,True,1.43,39.5,45.6,4.0
152,ST-015,Denver,2024-09-09 19:15:15,94.4,12.83,Tesla Model Y,Tesla Supercharger,Credit Card,,False,3.22,55.2,72.3,2.0
153,ST-006,Raleigh,2024-06-16 01:15:20,76.3,14.97,Tesla Model Y,Tesla Supercharger,Credit Card,30.8,True,3.91,76.7,96.7,4.5
154,ST-023,Nashville,2024-11-16 14:00:53,28.2,6.17,Chevy Bolt,CHAdeMO,Credit Card,2.1,True,1.58,26.5,34.7,3.5
155,ST-012,Raleigh,2024-03-22 18:46:34,55.1,10.08,Tesla Model 3,Tesla Supercharger,App,17.6,False,2.43,78.4,91.8,4.5
156,ST-002,Austin,2024-02-09 18:39:15,65.4,16.76,Nissan Leaf,CCS,App,9.6,False,3.5,40.0,62.3,4.0
157,ST-007,Portland,2024-05-31 20:23:50,16.9,3.41,Chevy Bolt,CCS,Credit Card,26.4,False,0.93,9.4,13.9,
158,ST-015,Denver,2025-04-03 12:03:38,9.8,2.0,Tesla Model Y,Tesla Supercharger,App,23.5,False,0.52,18.3,21.0,5.0
159,ST-001,Portland,2024-06-07 08:04:02,16.8,3.86,Ford Mustang Mach-E,CCS,RFID Card,38.1,False,1.0,63.7,68.8,4.0
160,ST-012,Raleigh,2025-03-25 12:12:28,31.3,4.81,Ford Mustang Mach-E,CCS,App,18.7,False,1.09,38.2,44.6,
161,ST-024,Raleigh,2024-06-28 07:24:28,18.9,4.15,Tesla Model Y,CCS,Free/Promotional,21.3,False,0.94,35.1,40.6,4.5
162,ST-005,Nashville,2024-09-20 08:06:15,28.8,5.09,Tesla Model 3,Tesla Supercharger,App,14.6,False,1.14,69.9,76.7,5.0
163,ST-001,Portland,2024-01-31 08:09:43,90.5,20.01,Other,CCS,App,11.0,False,6.16,13.6,40.3,3.5
164,ST-006,Raleigh,2024-11-13 05:17:05,20.2,4.77,Chevy Bolt,CCS,App,3.7,False,1.22,13.8,20.2,4.0
165,ST-018,Raleigh,2024-10-18 08:02:29,78.1,17.75,BMW iX,CCS,Free/Promotional,9.2,False,4.09,36.3,60.0,4.0
166,ST-009,Denver,2025-02-06 16:05:11,27.8,4.58,Rivian R1T,J1772,RFID Card,2.5,False,1.25,13.1,19.2,4.0
167,ST-008,Austin,2024-12-01 15:00:11,34.0,7.3,Ford Mustang Mach-E,J1772,App,4.0,True,1.63,34.7,44.4,4.5
168,ST-002,Austin,2025-04-29 12:25:10,69.6,14.43,Tesla Model Y,Tesla Supercharger,Credit Card,19.3,False,3.05,7.3,26.5,1.0
169,ST-024,Raleigh,2024-03-01 10:30:32,20.7,3.33,Chevy Bolt,CCS,Free/Promotional,8.4,False,0.78,15.1,19.5,4.0
170,ST-008,Austin,2024-09-16 14:58:42,25.0,5.3,Other,CHAdeMO,RFID Card,14.6,False,1.14,27.4,34.5,3.5
171,ST-025,Portland,2024-10-29 17:04:28,46.2,8.89,Nissan Leaf,CCS,RFID Card,-1.9,False,2.39,23.4,35.3,
172,ST-001,Portland,2024-06-30 20:47:24,47.8,7.33,Tesla Model Y,Tesla Supercharger,App,29.8,True,2.25,23.3,33.1,3.5
173,ST-015,Denver,2025-06-18 20:17:39,44.8,8.5,Tesla Model Y,Tesla Supercharger,App,30.4,False,2.34,13.3,24.6,4.0
174,ST-025,Portland,2025-03-25 05:28:05,48.3,7.38,Tesla Model 3,CCS,App,18.1,False,1.94,21.9,31.7,4.0
175,ST-013,Portland,2024-04-18 00:06:00,13.4,3.01,Tesla Model Y,CHAdeMO,Credit Card,23.9,False,0.79,12.0,16.0,4.0
176,ST-017,Nashville,2024-11-10 07:06:30,25.8,6.68,Chevy Bolt,CCS,Free/Promotional,0.3,True,1.53,72.3,81.2,3.5
177,ST-017,Nashville,2024-08-03 05:52:47,20.2,3.12,Chevy Bolt,CCS,Free/Promotional,,True,0.82,82.8,87.0,2.0
178,ST-011,Nashville,2025-03-01 16:01:01,17.6,3.31,Rivian R1T,J1772,App,8.9,True,0.72,9.5,13.9,4.5
179,ST-004,Seattle,2024-12-21 06:42:31,28.8,5.91,Hyundai Ioniq 5,J1772,Credit Card,-0.2,True,1.87,78.8,86.7,4.5
180,ST-022,Seattle,2025-03-29 17:20:47,14.1,3.42,Other,CCS,App,,True,1.11,14.5,19.1,1.0
181,ST-014,Austin,2024-08-14 14:10:52,103.1,21.71,Other,CHAdeMO,Free/Promotional,,False,4.79,42.6,71.5,4.5
182,ST-002,Austin,2024-08-03 16:10:29,42.4,5.74,Tesla Model Y,Tesla Supercharger,App,34.8,True,1.17,50.0,57.7,4.0
183,ST-019,Portland,2025-05-15 03:25:09,11.4,2.0,Ford Mustang Mach-E,J1772,RFID Card,23.0,False,0.58,83.5,86.2,4.5
184,ST-009,Denver,2025-02-26 18:53:51,19.1,4.97,Chevy Bolt,CCS,RFID Card,,False,1.41,16.6,23.2,3.5
185,ST-016,Seattle,2024-08-10 17:55:35,30.6,5.86,Tesla Model Y,CCS,RFID Card,25.9,True,1.77,11.4,19.2,4.5
186,ST-017,Nashville,2024-07-10 13:46:44,14.0,2.06,Chevy Bolt,J1772,RFID Card,26.7,False,0.49,65.6,68.3,4.5
187,ST-013,Portland,2025-06-28 16:17:19,143.8,28.28,Tesla Model Y,Tesla Supercharger,RFID Card,27.1,True,8.58,77.2,100.0,4.5
188,ST-021,Denver,2024-11-25 07:06:58,17.6,4.37,Hyundai Ioniq 5,CHAdeMO,App,3.2,False,1.2,75.4,81.2,5.0
189,ST-017,Nashville,2024-12-24 07:44:58,23.8,5.55,Tesla Model 3,Tesla Supercharger,Credit Card,3.8,False,1.29,49.6,57.0,4.0
